火炎側腐食(酸化),damage1
火炎側腐食(硫化),damage2
水蒸気酸化,damage3
流動加速腐食,damage4
硫酸腐食,damage5
フライアッシュエロージョン,damage6
スートブロワエロージョン,damage7
降下スラグエロージョン,damage8
エロージョン・コロージョン,damage9
石炭粒子エロージョン,damage10
アルカリ腐食,damage11
酸素腐食,damage12
酸露点腐食,damage13
その他の腐食(炭酸ガス腐食),damage14
その他の腐食(液体アンモニア腐食),damage15
その他の腐食(リン酸ナトリウム腐食),damage16
その他の腐食(ヒドラジン腐食),damage17
その他の腐食(脱硝装置の腐食),damage18
応力腐食割れ,damage19
ファイアクラック,damage20
水素浸食,damage21
液体金属脆化割れ,damage22
ひずみ時効割れ,damage23
機械的疲労,damage24
熱疲労,damage25
腐食疲労,damage26
長時間クリープ,damage27
短時間加熱クリープ,damage28
異材継手クリープ,damage29
クリープ疲労,damage30
大気側腐食(CUI),damage31
摩耗,damage32
内面ライニング損傷,damage33
